idplot,station_field_number,fk_environments,fk_chem_comp,fk_sampling_history,fk_land_user_history,fk_carbon,land_ower,name,county,state,country,continent,conservation_unit_class,conservation_unit_name,previous_land_use,lat,log,relief,topography,soil_order,soil_suborder,bioma,vegetation_physignomia,vegetation_age,land_use,dem,hand
19,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO
20,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO
21,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO
22,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO
23,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO
24,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO
25,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO
26,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO
27,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO
28,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO
29,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO
30,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO
31,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO
32,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO
33,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO
34,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO
35,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO
36,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO
37,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO
38,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO
39,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO
40,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO
41,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO
42,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO
43,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO
44,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO
45,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO
46,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO
47,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO
48,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO
49,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO
50,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO
51,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO
52,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO
53,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO
54,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO
55,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO
56,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO
57,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO
58,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO
59,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO
60,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO
61,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO
62,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO,FLAMENGO
