"Station Field Number","PalmC","PalmD","Babassu","Tucum","TreeC","TreeD","Height","VC Height","DBH","VC DBH","BA","ShrubC","ShrubD","ShrubDBH","VC ShrubDBH","VC TSDBH","TSC","TotalD","NecroC","LitterC","FineNC","HerbC","AGC","SOC","Total C","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12","0.0000","0.0000","0.0000","0.0000","2.5351","96.7906","6.2609","13.8050","13.8364","29.5311","1.5752","9.9116","9166.6667","2.9001","49.2022","96.4424","12.4467","9263.4573","2.6040","6.1090","2.7429","0.1069","24.0095","29.0044","53.0139","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"13","0.0000","0.0000","0.0000","0.0000","9.0898","453.3877","6.1526","12.4366","13.1405","17.7854","6.3394","9.6852","7750.0000","3.0586","65.9760","64.6053","18.7749","8203.3877","2.6305","1.3959","3.3186","0.2164","26.3363","34.3298","60.6662","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"14","0.0000","0.0000","0.0000","0.0000","22.9118","387.1625","6.8571","20.7206","17.0371","32.3132","9.7332","2.9514","6166.6667","2.3372","53.6982","72.2913","25.8632","6553.8292","0.7365","1.1842","3.0916","0.4318","31.3073","41.2461","72.5533","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"15","0.0000","0.0000","0.0000","0.0000","26.7084","397.3510","6.5190","47.8740","14.9234","56.4098","9.1312","7.2401","5500.0000","2.8935","59.6388","92.3511","33.9485","5897.3510","0.3108","0.7802","4.4707","0.6073","40.1174","40.7791","80.8965","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"18","0.0000","0.0000","0.0000","0.0000","92.6547","534.8956","14.0189","31.8549","22.0801","49.6796","25.4818","10.4665","10250.0000","2.5266","63.5161","100.1900","103.1211","10784.8956","0.3234","1.0540","4.9992","0.3341","109.8318","44.6843","154.5161","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"19","6.3770","32.0000","3.6706","2.3265","52.0764","564.0265","9.1059","37.0112","16.8373","64.2454","13.5703","8.6437","3416.6667","3.8243","53.4147","83.7824","60.7201","4012.6932","0.6800","3.9943","2.1934","1.2830","75.2479","51.8047","127.0526","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20","2.6203","21.0000","0.0000","2.2893","21.2378","539.3668","9.3929","19.0720","15.5533","29.3118","9.3433","5.3076","3833.3333","3.0264","65.1555","61.4394","26.5453","4393.7001","0.4455","2.9852","1.5273","0.2046","34.3282","59.6106","93.9388","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"21","0.7617","6.0000","0.0000","0.2651","12.9249","365.8798","9.7624","12.5226","14.0066","25.9869","5.6075","5.9325","3666.6667","3.2820","58.6229","60.4870","18.8574","4038.5464","0.1203","3.5111","3.4994","0.7742","27.5241","52.6309","80.1550","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"22","0.0000","0.0000","0.0000","0.0000","114.7249","565.4610","13.6195","32.7383","21.1596","60.9215","27.1906","5.8724","3666.6667","3.1674","57.6114","85.1640","120.5973","4232.1277","1.6013","2.3626","1.2829","0.1466","125.9907","46.2806","172.2713","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23","0.0000","0.0000","0.0000","0.0000","87.5447","565.4610","13.2679","29.5476","19.8766","53.4100","22.5003","7.7335","4166.6667","3.1609","65.2449","80.2783","95.2782","4732.1277","0.6744","2.0728","4.1248","0.2759","102.4262","41.0168","143.4430","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"24","0.0000","0.0000","0.0000","0.0000","65.5018","616.4035","11.4962","19.0522","14.8598","75.1876","16.6792","8.9101","7000.0000","2.8655","57.7713","103.0008","74.4119","7616.4035","0.2467","0.9285","1.5841","0.4412","77.6123","55.1298","132.7421","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"25","0.0000","0.0000","0.0000","0.0000","27.6989","631.6862","11.3111","10.7177","14.0621","27.7750","10.5586","8.9737","4416.6667","3.3722","58.9427","54.1374","36.6725","5048.3529","1.9994","0.6826","1.8277","0.3844","41.5667","29.4965","71.0632","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"26","0.0000","0.0000","0.0000","0.0000","8.4819","244.5237","11.1404","6.6654","12.4041","26.8554","3.1628","14.3465","5666.6667","3.7450","61.6245","68.4162","22.8283","5911.1904","0.0000","1.1774","0.4726","0.6987","25.1770","41.5173","66.6943","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"27","0.0000","0.0000","0.0000","0.0000","10.7807","290.3719","11.1935","7.7307","13.3093","23.1803","4.2519","7.4587","3833.3333","3.5947","73.3547","57.4734","18.2394","4123.7052","0.0000","0.8065","1.3147","0.5185","20.8791","38.8808","59.7599","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"28","1.2378","10.0000","0.0000","0.0000","8.6781","912.6667","3.8691","35.9399","15.3320","25.7488","16.8976","19.6756","7555.5556","7.9050","19.1457","37.0020","28.3538","8478.2222","0.0000","0.7518","6.0373","0.1716","36.5522","39.3979","75.9501","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"29","0.0000","0.0000","0.0000","0.0000","4.8236","821.3333","3.0474","36.9557","12.7785","21.6626","11.0244","0.6565","469.3333","4.9721","48.8266","49.3746","5.4802","1290.6667","0.0000","0.6731","0.0313","0.1965","6.3810","35.5969","41.9779","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"30","5.5851","52.0000","0.0000","0.0000","13.9552","1276.0000","4.1737","52.6186","13.8660","19.0973","16.4413","1.4737","165.3333","7.2185","41.4240","28.1588","15.4288","1493.3333","0.0000","0.8386","0.6817","0.0000","22.5343","37.3241","59.8584","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"31","0.0000","0.0000","0.0000","0.0000","250.2972","570.6667","9.9813","106.6815","24.1353","82.2871","43.6212","1.4518","444.4444","6.5784","40.8195","85.0301","251.7490","1015.1111","1.7142","1.3669","1.8243","0.0000","256.6544","34.0969","290.7513","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"33","5.8693","35.0000","1.5402","0.0000","12.7012","429.0000","6.2701","27.0912","17.6119","50.7361","8.2386","13.5423","2480.0000","7.4576","22.0738","62.5889","26.2434","2944.0000","3.2177","1.7779","0.3106","1.3531","38.7719","35.9107","74.6826","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"34","8.5044","60.0000","0.8966","0.0000","43.9256","576.7804","6.3480","36.2795","21.8819","70.0065","18.4614","3.7558","1280.0000","5.8727","37.3291","84.0719","47.6814","1916.7804","0.6241","1.5996","1.5177","0.2439","60.1711","41.7305","101.9016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"35","26.6757","187.0000","0.0000","0.0000","20.6860","1040.7127","6.9593","44.7455","15.2118","53.9665","6.4286","2.9578","880.0000","7.3818","25.0144","58.1002","23.6438","2107.7127","0.9085","0.9082","0.5103","0.3235","52.9699","40.8010","93.7709","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"36","13.6556","91.0000","0.0000","0.0000","64.7028","744.4559","7.3780","50.6769","21.8116","67.6891","20.1746","8.2781","3840.0000","5.9912","36.3599","91.6418","72.9810","4675.4559","1.7390","1.8698","0.0000","0.0000","90.2454","54.7257","144.9711","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"37","1.6787","4.0000","1.2763","0.0000","76.2984","556.3668","7.1455","42.5225","20.8325","68.3473","26.9228","9.1351","1120.0000","8.8857","10.8472","71.6189","85.4334","1680.3668","0.0000","1.3929","0.6266","0.0304","89.1619","43.4390","132.6009","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"38","9.2145","68.0000","0.0000","0.0000","207.3374","477.0841","12.0467","76.9976","45.9793","53.6880","42.2530","0.0000","0.0000","0.0000","0.0000","53.6880","207.3374","545.0841","1.4490","1.8230","0.8834","2.3480","223.0553","50.6543","273.7096","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"39","0.5213","4.0000","0.2748","0.2466","12.2642","556.3668","3.6500","45.3505","14.8180","52.1721","12.1584","0.8860","480.0000","9.5758","2.0962","52.3589","13.1502","1040.3668","0.8611","1.9393","12.5497","0.5187","29.5403","24.9579","54.4982","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41","18.2887","52.0000","15.6153","0.6337","26.4028","360.6337","8.5802","60.7467","25.4146","42.6041","10.0291","5.2037","400.0000","8.7089","24.2782","49.9774","31.6065","812.6337","0.0000","1.3151","0.7200","0.5500","52.4804","34.8241","87.3045","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
